date,pa,nj
3/8/20,0,0
3/9/20,0,0
3/10/20,0,1
3/11/20,0,0
3/12/20,0,0
3/13/20,0,0
3/14/20,0,1
3/15/20,0,0
3/16/20,0,1
3/17/20,0,0
3/18/20,1,2
3/19/20,0,4
3/20/20,0,2
3/21/20,1,5
3/22/20,1,4
3/23/20,3,7
3/24/20,2,24
3/25/20,4,18
3/26/20,4,20
3/27/20,7,26
3/28/20,12,32
3/29/20,5,14
3/30/20,8,45
3/31/20,15,68
4/1/20,11,88
4/2/20,16,177
4/3/20,12,108
4/4/20,34,200
4/5/20,15,70
4/6/20,11,88
4/7/20,78,228
4/8/20,69,271
4/9/20,29,202
4/10/20,78,226
4/11/20,78,251
4/12/20,13,167
4/13/20,17,93
4/14/20,60,362
4/15/20,63,351
4/16/20,60,362
4/17/20,49,322
4/18/20,80,230
4/19/20,276,132
4/20/20,92,175
4/21/20,360,376
4/22/20,58,310
4/23/20,-201,305
4/24/20,71,249
4/25/20,45,246
4/26/20,13,75
4/27/20,47,106
4/28/20,119,398
4/29/20,479,328
4/30/20,97,458
5/1/20,62,310
5/2/20,64,204
5/3/20,26,129
5/4/20,14,39
5/5/20,554,334
5/6/20,94,305
5/7/20,310,252
5/8/20,200,151
5/9/20,72,164
5/10/20,19,139
5/11/20,24,55
5/12/20,75,198
5/13/20,137,194
5/14/20,275,244
5/15/20,124,192
5/16/20,61,111
5/17/20,15,107
5/18/20,86,79
5/19/20,120,151
5/20/20,143,161
5/21/20,102,96
5/22/20,115,142
5/23/20,112,96
5/24/20,28,52
5/25/20,15,11
5/26/20,13,47
5/27/20,113,148
5/28/20,108,62